date,price
08/2007,665.4
09/2007,712.7
10/2007,754.6
11/2007,806.3
12/2007,803.2
01/2008,889.6
02/2008,922.3
03/2008,968.4
04/2008,909.7
05/2008,888.7
06/2008,889.5
07/2008,939.8
08/2008,839.0
09/2008,829.9
10/2008,806.6
11/2008,760.9
12/2008,816.1
01/2009,858.7
02/2009,943.2
03/2009,924.3
04/2009,890.2
05/2009,928.6
06/2009,945.7
07/2009,934.2
08/2009,949.4
09/2009,996.6
10/2009,1043.2
11/2009,1127.0
12/2009,1134.7
01/2010,1118.0
02/2010,1095.4
03/2010,1113.3
04/2010,1148.7
05/2010,1205.4
06/2010,1232.9
07/2010,1193.0
08/2010,1215.8
09/2010,1271.0
10/2010,1342.0
11/2010,1369.9
12/2010,1390.6
01/2011,1356.4
02/2011,1372.7
03/2011,1424.0
04/2011,1473.8
05/2011,1510.4
06/2011,1528.7
07/2011,1572.8
08/2011,1755.8
09/2011,1771.9
10/2011,1665.2
11/2011,1739.0
12/2011,1652.3
01/2012,1656.1
02/2012,1742.6
03/2012,1673.8
04/2012,1650.1
05/2012,1585.5
06/2012,1596.7
07/2012,1593.9
08/2012,1626.0
09/2012,1744.5
10/2012,1747.0
11/2012,1721.1
12/2012,1688.5
01/2013,1671.0
02/2013,1627.6
03/2013,1592.9
04/2013,1485.1
05/2013,1413.5
06/2013,1342.4
07/2013,1286.7
08/2013,1347.1
09/2013,1348.8
10/2013,1316.2
11/2013,1275.8
12/2013,1225.4
01/2014,1244.8
02/2014,1301.0
03/2014,1336.1
04/2014,1299.0
05/2014,1287.5
06/2014,1279.1
07/2014,1311.0
08/2014,1296.0
09/2014,1238.8
10/2014,1222.5
11/2014,1176.3
12/2014,1202.3
01/2015,1251.9
02/2015,1227.2
03/2015,1178.6
04/2015,1197.9
05/2015,1199.1
06/2015,1181.5
07/2015,1130.0
08/2015,1117.5
09/2015,1124.5
10/2015,1159.3
11/2015,1085.7
12/2015,1068.3
01/2016,1097.4
02/2016,1199.9
03/2016,1246.3
04/2016,1242.3
05/2016,1259.4
06/2016,1276.4
07/2016,1337.3
08/2016,1341.1
